tweet_id,timestamp,text,name,numerator,denominator,dog_stage,rating_ratio,dog_breed50,dog_breed60,dog_breed70,dog_breed80,dog_breed90,favorite_count,retweet_count
890006608113172480,2017-07-26 00:31:25+00:00,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,Koda,13.0,10.0,None,1.3,samoyed,samoyed,samoyed,samoyed,samoyed,29502.0,6883.0
889880896479866881,2017-07-25 16:11:53+00:00,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,Bruno,13.0,10.0,None,1.3,None,None,None,None,None,26764.0,4688.0
889665388333682689,2017-07-25 01:55:32+00:00,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,None,13.0,10.0,None,1.3,pembroke,pembroke,pembroke,pembroke,pembroke,46199.0,9428.0
889638837579907072,2017-07-25 00:10:02+00:00,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist ,Ted,12.0,10.0,None,1.2,french bulldog,french bulldog,french bulldog,french bulldog,french bulldog,26034.0,4227.0
889531135344209921,2017-07-24 17:02:04+00:00,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek ,Stuart,13.0,10.0,None,1.3,golden retriever,golden retriever,golden retriever,golden retriever,golden retriever,14533.0,2117.0
889278841981685760,2017-07-24 00:19:32+00:00,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek ,Oliver,13.0,10.0,None,1.3,whippet,whippet,None,None,None,24249.0,5030.0
888917238123831296,2017-07-23 00:22:39+00:00,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both ,Jim,12.0,10.0,None,1.2,golden retriever,golden retriever,golden retriever,None,None,27986.0,4225.0
888804989199671297,2017-07-22 16:56:37+00:00,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best ,Zeke,13.0,10.0,None,1.3,None,None,None,None,None,24584.0,4000.0
888554962724278272,2017-07-22 00:23:06+00:00,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af ,Ralphus,13.0,10.0,None,1.3,siberian husky,siberian husky,siberian husky,None,None,19024.0,3303.0
888202515573088257,2017-07-21 01:02:36+00:00,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,Canela,13.0,10.0,None,1.3,pembroke,pembroke,pembroke,pembroke,None,,
888078434458587136,2017-07-20 16:49:33+00:00,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway ,Gerald,12.0,10.0,None,1.2,french bulldog,french bulldog,french bulldog,french bulldog,french bulldog,20916.0,3269.0
887705289381826560,2017-07-19 16:06:48+00:00,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic ,Jeffrey,13.0,10.0,None,1.3,basset,basset,basset,basset,None,29033.0,5055.0
887517139158093824,2017-07-19 03:39:09+00:00,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) ,Roxy,14.0,10.0,None,1.4,None,None,None,None,None,44526.0,11023.0
887343217045368832,2017-07-18 16:08:03+00:00,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) ,None,13.0,10.0,None,1.3,None,None,None,None,None,32360.0,9820.0
887101392804085760,2017-07-18 00:07:08+00:00,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof ,None,12.0,10.0,None,1.2,samoyed,samoyed,samoyed,None,None,29383.0,5601.0
886983233522544640,2017-07-17 16:17:36+00:00,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,Maya,13.0,10.0,None,1.3,chihuahua,chihuahua,chihuahua,None,None,33707.0,7219.0
886736880519319552,2017-07-16 23:58:41+00:00,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

 ",Mingus,13.0,10.0,None,1.3,None,None,None,None,None,11559.0,3047.0
886680336477933568,2017-07-16 20:14:00+00:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,Derek,13.0,10.0,None,1.3,None,None,None,None,None,21548.0,4187.0
886366144734445568,2017-07-15 23:25:31+00:00,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,Roscoe,12.0,10.0,None,1.2,french bulldog,french bulldog,french bulldog,french bulldog,french bulldog,20338.0,2997.0
886267009285017600,2017-07-15 16:51:35+00:00,@NonWhiteHat @MayhewMayhem omg hello tanner you are a scary good boy 12/10 would pet with extreme caution,None,12.0,10.0,None,1.2,,,,,,116.0,4.0
886258384151887873,2017-07-15 16:17:19+00:00,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,Waffles,13.0,10.0,None,1.3,pug,pug,pug,pug,pug,26887.0,5933.0
886054160059072513,2017-07-15 02:45:48+00:00,RT @Athletics: 12/10 #BATP ,None,12.0,10.0,None,1.2,,,,,,0.0,104.0
885984800019947520,2017-07-14 22:10:11+00:00,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution ,Jimbo,12.0,10.0,None,1.2,blenheim spaniel,blenheim spaniel,blenheim spaniel,blenheim spaniel,blenheim spaniel,31350.0,6343.0
885528943205470208,2017-07-13 15:58:47+00:00,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,Maisey,13.0,10.0,None,1.3,None,None,None,None,None,34572.0,6019.0
885518971528720385,2017-07-13 15:19:09+00:00,I have a new hero and his name is Howard. 14/10 ,None,14.0,10.0,None,1.4,,,,,,19663.0,3504.0
885311592912609280,2017-07-13 01:35:06+00:00,This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well ,Lilly,13.0,10.0,None,1.3,labrador retriever,labrador retriever,labrador retriever,labrador retriever,labrador retriever,0.0,17414.0
885167619883638784,2017-07-12 16:03:00+00:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 ,None,13.0,10.0,None,1.3,malamute,malamute,malamute,malamute,None,21051.0,4112.0
884925521741709313,2017-07-12 00:01:00+00:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",Earl,12.0,10.0,None,1.2,None,None,None,None,None,74274.0,17039.0
884876753390489601,2017-07-11 20:47:12+00:00,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,Lola,13.0,10.0,None,1.3,chow,chow,chow,chow,None,26814.0,5267.0
884562892145688576,2017-07-11 00:00:02+00:00,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,Kevin,13.0,10.0,None,1.3,pug,None,None,None,None,23359.0,4430.0
884441805382717440,2017-07-10 15:58:53+00:00,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) ",None,14.0,10.0,None,1.4,pembroke,pembroke,pembroke,pembroke,pembroke,25988.0,5345.0
884247878851493888,2017-07-10 03:08:17+00:00,OMG HE DIDN'T MEAN TO HE WAS JUST TRYING A LITTLE BARKOUR HE'S SUPER SORRY 13/10 WOULD FORGIVE IMMEDIATE ,None,13.0,10.0,None,1.3,,,,,,70033.0,19110.0
884162670584377345,2017-07-09 21:29:42+00:00,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo ,Yogi,12.0,10.0,doggo,1.2,german shepherd,german shepherd,german shepherd,None,None,19576.0,2806.0
883838122936631299,2017-07-09 00:00:04+00:00,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy ,Noah,12.0,10.0,None,1.2,doberman,doberman,None,None,None,21000.0,3250.0
883482846933004288,2017-07-08 00:28:19+00:00,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 ",Bella,13.5,10.0,None,1.35,golden retriever,golden retriever,golden retriever,golden retriever,golden retriever,44124.0,9307.0
883360690899218434,2017-07-07 16:22:55+00:00,Meet Grizzwald. He may be the floofiest floofer I ever did see. Lost eyes saving a schoolbus from a volcano erpuption. 13/10 heroic as h*ck ,Grizzwald,13.0,10.0,None,1.3,chow,chow,chow,chow,chow,21794.0,3485.0
883117836046086144,2017-07-07 00:17:54+00:00,"Please only send dogs. We don't rate mechanics, no matter how h*ckin good. Thank you... 13/10 would sneak a pat ",None,13.0,10.0,None,1.3,golden retriever,golden retriever,golden retriever,golden retriever,golden retriever,35698.0,6254.0
882992080364220416,2017-07-06 15:58:11+00:00,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy ,Rusty,13.0,10.0,None,1.3,None,None,None,None,None,22979.0,3672.0
882762694511734784,2017-07-06 00:46:41+00:00,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl ,Gus,12.0,10.0,None,1.2,labrador retriever,labrador retriever,labrador retriever,labrador retriever,None,27171.0,4605.0
882627270321602560,2017-07-05 15:48:34+00:00,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) ,Stanley,13.0,10.0,None,1.3,pembroke,None,None,None,None,26851.0,5710.0
882268110199369728,2017-07-04 16:01:23+00:00,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 ,Alfy,13.0,10.0,None,1.3,golden retriever,golden retriever,golden retriever,None,None,43181.0,10901.0
882045870035918850,2017-07-04 01:18:17+00:00,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko ",Koko,13.0,10.0,None,1.3,None,None,None,None,None,28185.0,4608.0
881906580714921986,2017-07-03 16:04:48+00:00,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable ,Rey,12.0,10.0,None,1.2,None,None,None,None,None,23368.0,3200.0
881666595344535552,2017-07-03 00:11:11+00:00,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely ,Gary,13.0,10.0,None,1.3,saluki,None,None,None,None,48698.0,10039.0
881633300179243008,2017-07-02 21:58:53+00:00,@roushfenway These are good dogs but 17/10 is an emotional impulse rating. More like 13/10s,None,13.0,10.0,None,1.3,,,,,,121.0,7.0
881536004380872706,2017-07-02 15:32:16+00:00,"Here is a pupper approaching maximum borkdrive. Zooming at never before seen speeds. 14/10 paw-inspiring af 
(IG: puffie_the_chow) ",Puffie,14.0,10.0,None,1.4,None,None,None,None,None,47532.0,15016.0
881268444196462592,2017-07-01 21:49:04+00:00,Meet Elliot. He's a Canadian Forrest Pup. Unusual number of antlers for a dog. Sneaky tongue slip to celebrate #Canada150. 12/10 would pet ,Elliot,12.0,10.0,None,1.2,None,None,None,None,None,22269.0,4931.0
880935762899988482,2017-06-30 23:47:07+00:00,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking ,Louis,13.0,10.0,None,1.3,None,None,None,None,None,16377.0,2629.0
880872448815771648,2017-06-30 19:35:32+00:00,Ugh not again. We only rate dogs. Please don't send in well-dressed  floppy-tongued street penguins. Dogs only please. Thank you... 12/10 ,None,12.0,10.0,None,1.2,pembroke,pembroke,pembroke,None,None,20456.0,3596.0
880465832366813184,2017-06-29 16:39:47+00:00,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop ,Bella,12.0,10.0,None,1.2,golden retriever,golden retriever,golden retriever,golden retriever,golden retriever,27416.0,5873.0
880221127280381952,2017-06-29 00:27:25+00:00,Meet Jesse. He's a Fetty Woof. His tongue ejects without warning. A true bleptomaniac. 12/10 would snug well ,Jesse,12.0,10.0,None,1.2,None,None,None,None,None,25964.0,3962.0
880095782870896641,2017-06-28 16:09:20+00:00,Please don't send in photos without dogs in them. We're not @porch_rates. Insubordinate and churlish. Pretty good porch tho 11/10 ,None,11.0,10.0,None,1.1,None,None,None,None,None,26576.0,4086.0
879862464715927552,2017-06-28 00:42:13+00:00,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 ,Romeo,13.0,10.0,None,1.3,basset,basset,basset,basset,None,21494.0,3289.0
879674319642796034,2017-06-27 12:14:36+00:00,@RealKentMurphy 14/10 confirmed,None,14.0,10.0,None,1.4,,,,,,301.0,10.0
879492040517615616,2017-06-27 00:10:17+00:00,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 ,Bailey,12.0,10.0,None,1.2,None,None,None,None,None,22572.0,2997.0
879415818425184262,2017-06-26 19:07:24+00:00,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) ,Duddles,13.0,10.0,None,1.3,None,None,None,None,None,101836.0,41753.0
879376492567855104,2017-06-26 16:31:08+00:00,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by ,Jack,12.0,10.0,None,1.2,None,None,None,None,None,16177.0,2941.0
879130579576475649,2017-06-26 00:13:58+00:00,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved ,Emmy,14.0,10.0,None,1.4,,,,,,0.0,6423.0
879050749262655488,2017-06-25 18:56:45+00:00,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet ,Steven,11.0,10.0,None,1.1,None,None,None,None,None,21679.0,4410.0
879008229531029506,2017-06-25 16:07:47+00:00,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs ,Beau,13.0,10.0,None,1.3,vizsla,vizsla,vizsla,vizsla,vizsla,18250.0,2536.0
878776093423087618,2017-06-25 00:45:22+00:00,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth ,Snoopy,13.0,10.0,None,1.3,italian greyhound,italian greyhound,italian greyhound,None,None,18650.0,3866.0
878604707211726852,2017-06-24 13:24:20+00:00,Martha is stunning how h*ckin dare you. 13/10 ,None,13.0,10.0,None,1.3,,,,,,29046.0,6728.0
878404777348136964,2017-06-24 00:09:53+00:00,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

",Shadow,13.0,10.0,None,1.3,,,,,,0.0,1217.0
878316110768087041,2017-06-23 18:17:33+00:00,Meet Terrance. He's being yelled at because he stapled the wrong stuff together. 11/10 hang in there Terrance ,Terrance,11.0,10.0,None,1.1,,,,,,0.0,6298.0
878281511006478336,2017-06-23 16:00:04+00:00,"Meet Shadow. In an attempt to reach maximum zooming borkdrive, he tore his ACL. Still 13/10 tho. Help him out below

 ",Shadow,13.0,10.0,None,1.3,None,None,None,None,None,7433.0,1217.0
877736472329191424,2017-06-22 03:54:17+00:00,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again ,Aja,13.0,10.0,None,1.3,chesapeake bay retriever,chesapeake bay retriever,chesapeake bay retriever,chesapeake bay retriever,None,76579.0,17950.0
877611172832227328,2017-06-21 19:36:23+00:00,RT @rachel2195: @dog_rates the boyfriend and his soaking wet pupper h*cking love his new hat 14/10 ,None,14.0,10.0,None,1.4,None,None,None,None,None,0.0,77.0
877556246731214848,2017-06-21 15:58:08+00:00,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options ,Penny,12.0,10.0,None,1.2,basset,basset,basset,basset,basset,21854.0,3596.0
877316821321428993,2017-06-21 00:06:44+00:00,"Meet Dante. At first he wasn't a fan of his new raincoat, then he saw his reflection. H*ckin handsome. 13/10 for water resistant good boy ",Dante,13.0,10.0,None,1.3,saluki,None,None,None,None,26362.0,4886.0
877201837425926144,2017-06-20 16:29:50+00:00,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop ,Nelly,12.0,10.0,None,1.2,pembroke,pembroke,pembroke,pembroke,pembroke,26113.0,5274.0
876838120628539392,2017-06-19 16:24:33+00:00,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately ,Ginger,12.0,10.0,None,1.2,bloodhound,None,None,None,None,19948.0,3152.0
876537666061221889,2017-06-18 20:30:39+00:00,I can say with the pupmost confidence that the doggos who assisted with this search are heroic as h*ck. 14/10 for all ,None,14.0,10.0,doggo,1.4,,,,,,22719.0,4408.0
876484053909872640,2017-06-18 16:57:37+00:00,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy ,Benedict,13.0,10.0,None,1.3,golden retriever,golden retriever,golden retriever,golden retriever,None,18075.0,2253.0
876120275196170240,2017-06-17 16:52:05+00:00,"Meet Venti, a seemingly caffeinated puppoccino. She was just informed the weekend would include walks, pats and scritches. 13/10 much excite ",Venti,13.0,10.0,None,1.3,bernese mountain dog,None,None,None,None,26908.0,4417.0
875747767867523072,2017-06-16 16:11:53+00:00,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl ",Goose,13.0,10.0,None,1.3,labrador retriever,labrador retriever,labrador retriever,None,None,24252.0,4030.0
875144289856114688,2017-06-15 00:13:52+00:00,Meet Nugget and Hank. Nugget took Hank's bone. Hank is wondering if you would please return it to him. Both 13/10 would not intervene ,Nugget,13.0,10.0,None,1.3,None,None,None,None,None,21129.0,4660.0
875097192612077568,2017-06-14 21:06:43+00:00,You'll get your package when that precious man is done appreciating the pups. 13/10 for everyone ,None,13.0,10.0,None,1.3,,,,,,26443.0,5744.0
875021211251597312,2017-06-14 16:04:48+00:00,Guys please stop sending pictures without any dogs in th- oh never mind hello excuse me sir. 12/10 stealthy as h*ck ,None,12.0,10.0,None,1.2,west highland white terrier,west highland white terrier,west highland white terrier,None,None,24551.0,4470.0
874680097055178752,2017-06-13 17:29:20+00:00,Meet Cash. He hath acquired a stick. A very good stick tbh. 12/10 would pat head approvingly ,Cash,12.0,10.0,None,1.2,labrador retriever,labrador retriever,labrador retriever,labrador retriever,None,26828.0,4388.0
874434818259525634,2017-06-13 01:14:41+00:00,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly ,Coco,12.0,10.0,None,1.2,,,,,,0.0,13815.0
874296783580663808,2017-06-12 16:06:11+00:00,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract ,Jed,13.0,10.0,None,1.3,None,None,None,None,None,25103.0,3899.0
874057562936811520,2017-06-12 00:15:36+00:00,"I can't believe this keeps happening. This, is a birb taking a bath. We only rate dogs. Please only send dogs. Thank you... 12/10 ",None,12.0,10.0,None,1.2,flat-coated retriever,flat-coated retriever,flat-coated retriever,flat-coated retriever,None,21899.0,3754.0
874012996292530176,2017-06-11 21:18:31+00:00,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo ",Sebastian,13.0,10.0,None,1.3,cardigan,cardigan,cardigan,cardigan,None,33272.0,9771.0
873697596434513921,2017-06-11 00:25:14+00:00,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter ,Walter,14.0,10.0,None,1.4,None,None,None,None,None,,
873580283840344065,2017-06-10 16:39:04+00:00,"We usually don't rate Deck-bound Saskatoon Black Bears, but this one is h*ckin flawless. Sneaky tongue slip too. 13/10 would hug firmly ",None,13.0,10.0,None,1.3,newfoundland,newfoundland,None,None,None,23367.0,3730.0
873337748698140672,2017-06-10 00:35:19+00:00,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

",Sierra,12.0,10.0,None,1.2,,,,,,0.0,1511.0
873213775632977920,2017-06-09 16:22:42+00:00,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

 ",Sierra,12.0,10.0,None,1.2,vizsla,vizsla,None,None,None,6956.0,1511.0
872967104147763200,2017-06-09 00:02:31+00:00,Here's a very large dog. He has a date later. Politely asked this water person to check if his breath is bad. 12/10 good to go doggo ,None,12.0,10.0,doggo,1.2,None,None,None,None,None,26349.0,5131.0
872820683541237760,2017-06-08 14:20:41+00:00,"Here are my favorite #dogsatpollingstations 
Most voted for a more consistent walking schedule and to increase daily pats tenfold. All 13/10 ",None,13.0,10.0,None,1.3,pug,pug,pug,pug,pug,14221.0,3525.0
872668790621863937,2017-06-08 04:17:07+00:00,"RT @loganamnosis: Penelope here is doing me quite a divertir. Well done, @dog_rates! Loving the pupdate. 14/10, je jouerais de nouveau. htt…",None,14.0,10.0,None,1.4,,,,,,,
872620804844003328,2017-06-08 01:06:27+00:00,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... ,Monkey,13.0,10.0,None,1.3,cocker spaniel,None,None,None,None,20053.0,3480.0
872486979161796608,2017-06-07 16:14:40+00:00,We. Only. Rate. Dogs. Do not send in other things like this fluffy floor shark clearly ready to attack. Get it together guys... 12/10 ,None,12.0,10.0,None,1.2,pembroke,pembroke,pembroke,pembroke,pembroke,39340.0,8575.0
872261713294495745,2017-06-07 01:19:32+00:00,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck ,Harry,13.0,10.0,None,1.3,labrador retriever,labrador retriever,labrador retriever,labrador retriever,labrador retriever,,
872122724285648897,2017-06-06 16:07:15+00:00,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on ,Kody,12.0,10.0,None,1.2,None,None,None,None,None,33250.0,7714.0
871879754684805121,2017-06-06 00:01:46+00:00,Say hello to Lassie. She's celebrating #PrideMonth by being a splendid mix of astute and adorable. Proudly supupporting her owner. 13/10 ,Lassie,13.0,10.0,None,1.3,shetland sheepdog,shetland sheepdog,shetland sheepdog,shetland sheepdog,shetland sheepdog,36540.0,10511.0
871762521631449091,2017-06-05 16:15:56+00:00,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 ,Rover,12.0,10.0,None,1.2,labrador retriever,labrador retriever,labrador retriever,labrador retriever,labrador retriever,19590.0,3314.0
871515927908634625,2017-06-04 23:56:03+00:00,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo ,Napolean,12.0,10.0,doggo,1.2,komondor,komondor,komondor,komondor,komondor,19514.0,3295.0
871166179821445120,2017-06-04 00:46:17+00:00,This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her ,Dawn,12.0,10.0,None,1.2,,,,,,0.0,5442.0
871102520638267392,2017-06-03 20:33:19+00:00,Never doubt a doggo 14/10 ,None,14.0,10.0,doggo,1.4,,,,,,20279.0,5247.0
871032628920680449,2017-06-03 15:55:36+00:00,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking ",Boomer,13.0,10.0,None,1.3,None,None,None,None,None,21978.0,3638.0
870804317367881728,2017-06-03 00:48:22+00:00,Real funny guys. Sending in a pic without a dog in it. Hilarious. We'll rate the rug tho because it's giving off a very good vibe. 11/10 ,None,11.0,10.0,None,1.1,None,None,None,None,None,32580.0,5905.0
870726314365509632,2017-06-02 19:38:25+00:00,@ComplicitOwl @ShopWeRateDogs &gt;10/10 is reserved for dogs,None,10.0,10.0,None,1.0,,,,,,118.0,3.0
870656317836468226,2017-06-02 15:00:16+00:00,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here:  ",Cody,13.0,10.0,None,1.3,pembroke,pembroke,pembroke,pembroke,pembroke,12018.0,2523.0
870374049280663552,2017-06-01 20:18:38+00:00,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 ,Zoey,13.0,10.0,None,1.3,golden retriever,golden retriever,golden retriever,golden retriever,None,80318.0,25231.0
870308999962521604,2017-06-01 16:00:09+00:00,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking ",Rumble,13.0,10.0,None,1.3,greater swiss mountain dog,greater swiss mountain dog,None,None,None,21224.0,3970.0
870063196459192321,2017-05-31 23:43:25+00:00,Meet Clifford. He's quite large. Also red. Good w kids. Somehow never steps on them. Massive poops very inconvenient. Still 14/10 would ride ,Clifford,14.0,10.0,None,1.4,None,None,None,None,None,35509.0,7948.0
869988702071779329,2017-05-31 18:47:24+00:00,We only rate dogs. This is quite clearly a smol broken polar bear. We'd appreciate if you only send dogs. Thank you... 12/10…,None,12.0,10.0,None,1.2,,,,,,,
869772420881756160,2017-05-31 04:27:59+00:00,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly ",Dewey,13.0,10.0,None,1.3,pembroke,pembroke,pembroke,pembroke,pembroke,41239.0,9652.0
869702957897576449,2017-05-30 23:51:58+00:00,Meet Stanley. He likes road trips. Will shift for you. One ear more effective than other. 13/10 we don't leave until you buckle pup Stanley ,Stanley,13.0,10.0,None,1.3,pembroke,pembroke,pembroke,pembroke,pembroke,27415.0,6048.0
